"","yea","nay","notInLegis","missing","Total","yea%","nay%","notInLegis%","missing%"
"6350",21,402,89,0,512,4.1015625,78.515625,17.3828125,0
"6351",99,368,45,0,512,19.3359375,71.875,8.7890625,0
"6352",210,267,35,0,512,41.015625,52.1484375,6.8359375,0
"6354",264,207,41,0,512,51.5625,40.4296875,8.0078125,0
"6356",164,240,108,0,512,32.03125,46.875,21.09375,0
"6357",56,343,113,0,512,10.9375,66.9921875,22.0703125,0
"6358",330,141,41,0,512,64.453125,27.5390625,8.0078125,0
"6359",452,19,41,0,512,88.28125,3.7109375,8.0078125,0
"6360",38,219,255,0,512,7.421875,42.7734375,49.8046875,0
"6362",206,236,70,0,512,40.234375,46.09375,13.671875,0
"6363",369,39,104,0,512,72.0703125,7.6171875,20.3125,0
"6368",114,268,129,1,512,22.265625,52.34375,25.1953125,0.1953125
"6369",134,311,66,1,512,26.171875,60.7421875,12.890625,0.1953125
"6370",348,110,53,1,512,67.96875,21.484375,10.3515625,0.1953125
"6371",220,225,66,1,512,42.96875,43.9453125,12.890625,0.1953125
"6372",419,8,84,1,512,81.8359375,1.5625,16.40625,0.1953125
"6373",337,73,101,1,512,65.8203125,14.2578125,19.7265625,0.1953125
"6374",363,48,101,0,512,70.8984375,9.375,19.7265625,0
"6375",386,10,116,0,512,75.390625,1.953125,22.65625,0
"6377",293,101,118,0,512,57.2265625,19.7265625,23.046875,0
"6378",433,7,72,0,512,84.5703125,1.3671875,14.0625,0
"6379",157,277,78,0,512,30.6640625,54.1015625,15.234375,0
"6380",60,357,95,0,512,11.71875,69.7265625,18.5546875,0
"6381",0,404,108,0,512,0,78.90625,21.09375,0
"6382",392,43,77,0,512,76.5625,8.3984375,15.0390625,0
